"","Gender","Age","Occupation","City_Category","Stay_In_Current_City_Years","Martial_Status","Product_num","Purchase"
"998","M","51-55","16","3","1","1","56","542550"
"999","M","26-35","5","2","2","0","105","969914"
"1000","M","18-25","2","3","2","1","62","616425"
"1001","M","36-45","7","3","2","0","32","341368"
"1002","M","46-50","7","3","2","1","18","139918"
"1003","F","55+","15","3","3","1","76","673306"
"1004","F","36-45","1","3","4","0","14","88893"
"1005","M","26-35","11","3","2","1","135","1447466"
"1006","M","46-50","2","2","3","0","52","592703"
"1007","M","36-45","5","3","4","1","26","206046"
"1008","F","51-55","11","3","5","0","22","263483"
"1009","M","26-35","20","1","1","0","77","730982"
"1010","F","0-17","10","3","3","0","17","85421"
"1011","M","55+","18","3","3","1","17","188993"
"1012","M","18-25","0","2","5","0","42","548784"
"1013","M","36-45","6","3","5","0","24","209680"
"1014","M","46-50","14","3","4","1","13","127711"
"1015","M","26-35","1","2","2","0","297","2128292"
"1016","F","26-35","0","1","1","1","485","4003012"
"1017","F","36-45","2","3","2","0","43","451508"
"1018","M","36-45","0","3","3","1","209","2179676"
"1019","M","0-17","10","3","2","0","70","690207"
"1020","M","36-45","0","1","2","1","49","377725"
"1021","M","0-17","0","3","2","0","44","329556"
"1022","M","46-50","17","2","2","1","92","943918"
"1023","M","26-35","1","2","3","0","198","2114634"
"1024","F","26-35","0","2","4","0","304","1992759"
"1025","M","18-25","10","3","2","0","51","557358"
"1026","M","46-50","0","3","1","1","25","243868"
"1027","M","51-55","19","3","4","0","116","1174579"
"1028","M","36-45","7","2","2","0","54","697535"
"1029","M","26-35","7","3","2","0","57","619145"
"1030","F","26-35","0","2","4","0","54","424138"
"1031","M","46-50","12","3","4","1","73","609523"
"1032","M","36-45","12","2","4","1","54","587074"
"1033","F","18-25","4","2","3","0","341","2839401"
"1034","M","26-35","20","1","5","0","355","2503980"
"1035","F","46-50","2","2","2","1","12","135687"
"1036","M","51-55","16","3","1","0","77","995653"
"1037","F","36-45","7","3","3","0","61","564627"
"1038","F","26-35","6","3","5","0","65","613353"
"1039","M","46-50","17","1","5","1","98","812530"
"1040","F","26-35","6","1","2","1","25","315605"
"1041","F","26-35","3","3","2","1","26","213989"
"1042","M","26-35","3","1","2","0","176","1766569"
"1043","F","46-50","9","3","2","1","64","518430"
"1044","M","26-35","7","1","1","0","75","788064"
"1045","M","55+","7","3","2","1","30","270072"
"1046","M","18-25","4","3","2","1","24","274930"
"1047","M","55+","0","2","2","1","13","98405"
"1048","M","0-17","19","3","1","0","105","955458"
"1049","M","26-35","7","3","3","1","21","187922"
"1050","M","18-25","4","1","3","0","174","1891268"
"1051","M","26-35","16","2","2","0","232","2229337"
"1052","F","0-17","10","1","4","0","679","5628295"
"1053","M","36-45","6","3","3","1","41","502905"
"1054","M","26-35","7","3","2","1","44","434848"
"1055","M","18-25","5","3","1","0","17","157107"
"1056","F","18-25","4","3","3","0","27","285768"
"1057","M","51-55","14","3","3","1","40","503654"
"1058","F","18-25","0","3","2","0","101","894377"
"1059","F","55+","6","3","4","0","16","129914"
"1060","M","0-17","10","3","2","0","136","863523"
"1061","M","18-25","17","1","5","0","88","868522"
"1062","M","36-45","7","3","5","1","17","191517"
"1063","M","26-35","17","3","5","0","106","1004025"
"1064","M","26-35","0","2","1","1","279","1352196"
"1065","M","36-45","1","1","2","0","297","2684892"
"1066","M","18-25","1","1","3","0","14","64400"
"1067","F","46-50","7","3","3","0","40","330239"
"1068","M","36-45","11","1","2","0","35","320392"
"1069","M","18-25","4","3","3","0","43","459086"
"1070","F","51-55","1","3","2","1","46","314041"
"1071","M","55+","1","2","3","0","25","244289"
"1072","M","18-25","10","3","2","0","118","892989"
"1073","F","55+","6","2","4","1","28","276009"
"1074","F","51-55","16","3","2","1","18","161549"
"1075","M","18-25","6","1","5","0","376","3237908"
"1076","M","18-25","4","2","4","0","179","1977655"
"1077","F","18-25","9","1","3","0","80","594512"
"1078","F","26-35","1","3","1","0","57","450216"
"1079","M","26-35","15","2","4","0","82","639799"
"1080","M","18-25","14","2","4","0","431","4315927"
"1081","M","51-55","13","3","2","1","15","122827"
"1082","M","36-45","1","2","3","1","234","2399110"
"1083","M","18-25","4","1","1","1","401","3591454"
"1084","M","55+","7","3","5","1","154","1537625"
"1085","M","55+","14","3","1","1","64","649482"
"1086","M","26-35","2","2","5","1","226","2109831"
"1087","F","18-25","4","2","3","0","343","2877592"
"1088","M","55+","16","3","1","0","13","122719"
"1089","M","26-35","0","3","2","0","74","756171"
"1090","M","26-35","1","1","3","0","285","2290601"
"1091","M","36-45","17","3","3","0","65","700787"
"1092","M","18-25","7","3","2","0","158","1578514"
"1093","M","55+","13","3","5","1","54","625170"
"1094","M","18-25","12","1","2","1","92","1323763"
"1095","M","18-25","2","3","1","0","92","1022760"
"1096","M","18-25","20","3","2","0","84","1008472"
"1097","M","51-55","13","3","2","1","101","1248238"
"1098","F","36-45","7","3","4","0","28","279637"
"1099","M","18-25","4","2","5","0","298","2709351"
"1100","M","18-25","12","3","5","0","50","463795"
"1101","M","26-35","1","3","3","0","107","1140954"
"1102","F","46-50","2","2","3","1","194","1781244"
"1103","F","26-35","3","2","2","1","265","1942011"
"1104","M","18-25","1","2","2","0","149","1263960"
"1105","M","51-55","7","3","5","1","28","283948"
"1106","M","26-35","7","2","5","0","13","141492"
"1107","M","51-55","3","1","3","1","35","267140"
"1108","F","18-25","16","2","3","1","222","1608565"
"1109","M","26-35","20","2","4","1","178","1559739"
"1110","M","36-45","17","3","2","1","33","249996"
"1111","M","26-35","12","1","2","1","51","479852"
"1112","F","26-35","20","1","2","0","752","4728932"
"1113","M","26-35","15","3","3","1","180","1929174"
"1114","M","18-25","4","3","3","0","81","674989"
"1115","M","18-25","10","3","1","0","49","283297"
"1116","F","0-17","10","3","3","0","17","151803"
"1117","M","26-35","12","3","1","0","104","1186301"
"1118","F","51-55","2","1","5","0","43","335260"
"1119","M","46-50","7","3","2","0","13","161466"
"1120","F","36-45","1","3","3","1","40","323320"
"1121","M","18-25","0","3","4","1","74","629963"
"1122","M","18-25","14","3","2","0","60","475012"
"1123","M","26-35","0","1","2","0","53","502842"
"1124","F","36-45","0","2","5","0","100","895807"
"1125","M","0-17","10","3","3","0","37","449019"
"1126","F","26-35","19","1","2","1","266","1925552"
"1127","M","26-35","12","2","2","1","80","819394"
"1128","M","55+","6","3","4","1","13","130727"
"1129","F","51-55","1","2","2","1","41","306357"
"1130","F","26-35","0","1","2","1","137","1061893"
"1131","M","26-35","20","2","4","0","64","374651"
"1132","M","55+","3","1","3","1","145","1319638"
"1133","M","46-50","12","1","3","1","19","226557"
"1134","F","26-35","0","1","3","1","260","2100778"
"1135","F","26-35","7","1","4","0","206","1569381"
"1136","F","18-25","16","3","1","0","15","108434"
"1137","F","26-35","2","1","2","0","36","315032"
"1138","M","55+","1","3","2","1","74","905066"
"1139","F","26-35","17","3","3","1","40","398907"
"1140","M","55+","0","3","2","1","18","124043"
"1141","M","51-55","1","2","3","1","134","1436611"
"1142","F","51-55","20","3","1","1","23","230895"
"1143","M","36-45","7","1","4","1","861","6387899"
"1144","M","0-17","10","2","4","0","206","1803852"
"1145","M","36-45","19","2","2","0","112","970587"
"1146","F","26-35","4","3","2","1","155","1368452"
"1147","F","36-45","1","3","4","0","47","360653"
"1148","M","18-25","19","1","2","1","118","1202049"
"1149","F","0-17","0","1","3","0","20","152034"
"1150","M","46-50","7","3","3","0","15","226427"
"1151","M","26-35","0","3","2","0","20","208527"
"1152","M","46-50","0","3","3","0","17","178301"
"1153","F","36-45","0","2","4","1","61","743159"
"1154","M","51-55","16","1","2","1","14","139811"
"1155","M","26-35","12","3","4","1","152","1129317"
"1156","F","26-35","1","2","2","1","367","3041966"
"1157","F","0-17","10","3","2","0","53","387824"
"1158","F","18-25","14","3","4","0","61","545160"
"1159","M","36-45","1","3","2","0","14","167452"
"1160","M","0-17","10","3","2","0","61","659844"
"1161","M","51-55","13","3","5","1","103","951423"
"1162","M","0-17","0","3","5","0","23","260624"
"1163","M","18-25","4","3","5","0","36","354740"
"1164","M","36-45","12","2","1","0","279","2654016"
"1165","F","26-35","1","1","4","0","446","4178546"
"1166","M","26-35","7","2","5","0","70","679664"
"1167","F","55+","0","3","2","1","53","403659"
"1168","F","51-55","7","3","2","1","69","767566"
"1169","M","26-35","0","3","2","1","29","249686"
"1170","M","36-45","7","3","2","1","135","1180229"
"1171","M","26-35","17","3","2","1","24","320089"
"1172","M","18-25","4","1","2","0","234","2347640"
"1173","F","51-55","1","3","2","0","37","463120"
"1174","M","51-55","0","1","2","0","18","179133"
"1175","M","55+","13","3","2","1","26","184574"
"1176","M","36-45","17","3","1","0","64","859580"
"1177","M","26-35","2","1","2","1","101","1181635"
"1178","M","26-35","12","1","4","0","33","381862"
"1179","M","55+","15","2","1","1","120","1093139"
"1180","M","26-35","7","3","4","1","134","1662783"
"1181","M","0-17","10","1","4","0","107","920252"
"1182","M","18-25","0","2","2","0","131","1272993"
"1183","M","36-45","0","3","5","0","41","309290"
"1184","M","26-35","2","3","5","0","74","726660"
"1185","M","51-55","13","2","5","0","338","3286428"
"1186","M","46-50","7","3","2","1","13","154041"
"1187","M","18-25","20","3","3","0","17","119692"
"1188","M","51-55","1","2","3","0","75","680921"
"1189","M","26-35","1","3","5","1","136","1433514"
"1190","F","26-35","4","3","1","1","17","143242"
"1191","M","26-35","11","2","3","0","147","1700304"
"1192","M","26-35","12","3","2","0","58","653629"
"1193","F","18-25","4","3","3","0","69","562722"
"1194","F","46-50","20","3","2","1","34","370097"
"1195","M","18-25","4","2","3","0","11","175458"
"1196","F","26-35","7","1","2","0","33","256083"
"1197","F","26-35","1","3","2","0","16","194841"
"1198","M","18-25","4","3","2","1","15","142846"
"1199","F","36-45","20","1","2","0","29","240925"
"1200","F","26-35","20","2","2","0","49","487261"
"1201","F","18-25","14","2","4","1","13","133739"
"1202","M","0-17","10","2","2","0","116","1173447"
"1203","F","36-45","0","1","1","1","362","3048547"
"1204","M","36-45","15","2","5","1","206","1818148"
"1205","M","26-35","4","1","5","1","296","3056483"
"1206","M","18-25","4","1","3","0","336","3476443"
"1207","M","36-45","0","2","3","0","18","228690"
"1208","F","36-45","20","2","5","0","59","607552"
"1209","M","36-45","2","3","3","0","12","171144"
"1210","M","51-55","0","3","2","1","13","145780"
"1211","M","26-35","7","3","1","1","30","207237"
"1212","M","55+","13","3","4","0","76","717673"
"1213","F","36-45","20","3","2","1","39","269686"
"1214","F","18-25","1","2","3","0","65","544772"
"1215","M","26-35","17","1","5","0","145","1251668"
"1216","M","26-35","20","2","5","0","15","176380"
"1217","F","18-25","14","3","4","1","25","276955"
"1218","M","46-50","7","3","2","0","23","360927"
"1219","M","36-45","7","3","3","1","33","384596"
"1220","M","26-35","17","2","1","0","282","2677909"
"1221","M","18-25","4","3","3","0","114","1118191"
"1222","M","26-35","4","1","1","1","100","771226"
"1223","M","0-17","10","2","5","0","169","1121150"
"1224","M","26-35","1","1","4","0","404","3888766"
"1225","F","18-25","20","2","1","1","188","1391978"
"1226","M","26-35","4","2","1","1","407","3194568"
"1227","M","26-35","15","3","2","0","93","908141"
"1228","M","51-55","2","2","2","1","110","1207396"
"1229","F","55+","13","3","3","1","15","134242"
"1230","M","26-35","6","3","2","0","15","122582"
"1231","F","46-50","6","3","4","1","95","949418"
"1232","M","18-25","20","2","1","0","153","1451715"
"1233","M","36-45","2","3","4","1","201","1773301"
"1234","M","46-50","7","2","5","1","346","3292986"
"1235","M","51-55","17","3","2","1","13","141523"
"1236","M","36-45","17","2","3","0","41","337409"
"1237","F","18-25","0","3","2","0","19","127382"
"1238","M","18-25","4","3","4","0","36","380799"
"1239","M","36-45","1","1","3","0","196","1362321"
"1240","M","0-17","10","3","2","0","35","300360"
"1241","M","26-35","19","3","2","0","83","605698"
"1242","M","51-55","1","3","3","1","11","93826"
"1243","F","18-25","1","3","4","0","25","197093"
"1244","M","46-50","16","1","2","1","272","2550830"
"1245","M","36-45","4","1","1","1","605","5805353"
"1246","M","36-45","17","1","2","0","35","251032"
"1247","F","51-55","7","2","4","0","59","680206"
"1248","F","36-45","19","3","2","0","79","605539"
"1249","M","46-50","6","3","1","0","23","321494"
"1250","M","36-45","0","3","2","0","25","248419"
"1251","F","36-45","0","1","4","0","150","1219732"
"1252","M","26-35","7","3","4","0","25","219709"
"1253","M","26-35","5","3","2","0","43","277502"
"1254","F","51-55","20","2","5","1","141","1054014"
"1255","F","36-45","6","3","2","1","25","308197"
"1256","M","0-17","0","3","5","0","31","284759"
"1257","M","26-35","7","1","5","0","274","2564524"
"1258","M","36-45","6","2","5","0","341","3328448"
"1259","M","26-35","14","2","2","0","136","1563998"
"1260","M","0-17","10","3","4","0","86","664577"
"1261","F","26-35","2","3","2","1","170","1863744"
"1262","M","18-25","4","3","3","0","36","464767"
"1263","M","26-35","19","1","5","0","379","3163252"
"1264","M","26-35","14","3","2","1","49","623700"
"1265","M","46-50","20","2","5","1","15","236016"
"1266","M","26-35","3","2","4","0","245","2739770"
"1267","M","55+","13","3","3","1","15","185507"
"1268","M","26-35","14","3","1","0","15","162538"
"1269","M","46-50","0","3","5","1","13","94677"
"1270","M","18-25","10","3","2","0","94","1034327"
"1271","M","26-35","14","2","3","1","84","855566"
"1272","M","18-25","4","2","5","1","16","174934"
"1273","F","18-25","4","3","1","0","111","803205"
"1274","M","36-45","7","3","3","1","56","602813"
"1275","M","51-55","2","3","3","0","18","130979"
"1276","M","46-50","7","2","4","1","435","3960062"
"1277","M","18-25","16","2","5","1","8","80248"
"1278","F","26-35","3","3","3","1","19","134983"
"1279","M","26-35","4","1","3","0","69","999317"
"1280","F","26-35","14","3","4","1","100","780163"
"1281","M","55+","0","1","1","0","229","2028794"
"1282","F","36-45","2","3","2","0","93","753018"
"1283","M","36-45","16","2","4","0","59","609448"
"1284","M","26-35","1","2","2","1","162","1745836"
"1285","F","26-35","0","1","2","0","20","200245"
"1286","M","0-17","10","2","1","0","40","351242"
"1287","M","36-45","14","1","2","0","80","1115743"
"1288","M","18-25","14","2","4","0","234","2180337"
"1289","M","55+","1","3","5","0","22","247953"
"1290","M","46-50","0","3","5","1","95","783909"
"1291","M","26-35","7","3","4","0","16","143686"
"1292","M","26-35","17","1","5","0","299","3065866"
"1293","M","51-55","7","3","1","1","36","376662"
"1294","M","36-45","0","3","2","0","172","1262318"
"1295","F","51-55","20","2","5","1","11","120810"
"1296","M","55+","17","3","2","1","39","332616"
"1297","M","26-35","0","1","4","1","74","991062"
"1298","M","36-45","18","3","3","0","115","893314"
"1299","M","26-35","7","1","3","0","450","2653348"
"1300","M","18-25","7","3","4","0","50","244331"
"1301","M","36-45","0","3","5","0","50","415537"
"1302","M","36-45","14","2","4","0","152","1620889"
"1303","F","26-35","9","3","5","0","35","312740"
"1304","F","26-35","2","3","2","1","112","835463"
"1305","M","36-45","20","3","2","0","17","171593"
"1306","F","18-25","1","3","1","0","84","753027"
"1307","F","0-17","10","1","4","0","76","597509"
"1308","M","51-55","7","2","4","1","23","417743"
"1309","F","36-45","0","3","2","0","70","655115"
"1310","F","26-35","17","3","5","1","14","141697"
"1311","M","36-45","20","2","3","0","71","667889"
"1312","M","0-17","10","3","1","0","34","291021"
"1313","F","26-35","2","2","4","0","386","3237650"
"1314","F","46-50","20","1","4","0","27","234934"
"1315","F","18-25","4","2","3","0","270","1930537"
"1316","M","46-50","0","3","2","1","94","479417"
"1317","M","36-45","17","3","2","1","127","1410621"
"1318","M","36-45","1","3","3","0","50","479513"
"1319","M","26-35","20","3","2","1","58","561977"
"1320","F","26-35","0","1","2","0","74","679980"
"1321","M","36-45","12","2","1","0","124","1193530"
"1322","M","51-55","7","2","4","0","12","125929"
"1323","F","46-50","2","1","1","0","30","248550"
"1324","F","0-17","10","3","4","0","39","322612"
"1325","M","0-17","10","3","1","0","77","652609"
"1326","M","26-35","12","3","2","0","119","1079707"
"1327","F","26-35","3","3","2","0","23","200794"
"1328","M","26-35","5","2","2","1","226","2376783"
"1329","M","36-45","2","3","3","1","79","701715"
"1330","F","51-55","2","1","4","1","23","269701"
"1331","M","0-17","10","2","2","0","36","324579"
"1332","F","26-35","1","1","2","0","45","487812"
"1333","M","51-55","1","2","4","0","50","435896"
"1334","F","46-50","5","2","3","1","36","305157"
"1335","F","46-50","1","3","2","1","57","563380"
"1336","M","36-45","16","2","4","1","298","2559117"
"1337","F","46-50","7","3","4","1","36","474328"
"1338","F","55+","13","3","3","1","15","106517"
"1339","M","0-17","10","3","1","0","141","1401331"
"1340","M","18-25","11","3","2","0","41","291237"
"1341","F","46-50","1","3","2","0","19","176919"
"1342","F","26-35","7","1","2","0","452","3380079"
"1343","M","18-25","10","3","2","0","12","137837"
"1344","F","26-35","5","3","2","1","11","115544"
"1345","F","26-35","0","2","2","0","42","385080"
"1346","F","51-55","13","2","2","1","128","1205262"
"1347","M","55+","20","3","3","1","36","452678"
"1348","M","26-35","17","2","5","1","241","2472642"
"1349","M","36-45","16","3","4","1","175","1713644"
"1350","M","36-45","15","3","1","1","121","1038116"
"1351","M","46-50","3","3","2","1","135","1312252"
"1352","M","18-25","4","2","4","0","62","655525"
"1353","F","26-35","3","1","1","0","18","110862"
"1354","M","26-35","2","2","2","1","161","1735522"
"1355","F","26-35","12","1","5","1","111","978140"
"1356","M","36-45","7","3","4","1","29","303420"
"1357","F","55+","16","3","4","1","22","205012"
"1358","M","18-25","17","3","2","0","142","1436786"
"1359","M","26-35","7","2","5","0","37","389621"
"1360","F","18-25","1","3","4","0","37","367539"
"1361","M","18-25","4","3","4","0","32","331944"
"1362","F","26-35","0","3","5","1","38","456890"
"1363","M","51-55","16","2","2","1","192","1221368"
"1364","M","55+","13","3","2","1","37","298373"
"1365","M","26-35","4","3","3","1","13","104679"
"1366","F","36-45","15","1","2","1","107","1087707"
"1367","M","26-35","0","2","2","1","82","928115"
"1368","M","18-25","4","2","2","1","46","559207"
"1369","M","51-55","7","2","4","1","46","503153"
"1370","M","36-45","1","3","3","0","35","300643"
"1371","M","26-35","17","3","5","1","12","117304"
"1372","M","18-25","3","2","2","1","98","1016165"
"1373","M","18-25","4","3","5","0","52","741948"
"1374","M","46-50","14","3","2","0","112","1085093"
"1375","M","26-35","14","2","2","1","9","70350"
"1376","M","36-45","16","3","3","0","17","140546"
"1377","M","18-25","4","1","2","1","161","1553229"
"1378","M","18-25","4","3","4","0","165","1789444"
"1379","F","0-17","10","1","2","0","112","965630"
"1380","M","36-45","17","2","4","0","408","3172657"
"1381","M","26-35","4","3","3","1","49","382310"
"1382","M","36-45","0","3","3","1","27","217660"
"1383","M","0-17","10","2","2","0","427","3761988"
"1384","M","18-25","14","2","4","0","215","2088444"
"1385","M","26-35","12","3","3","0","89","817627"
"1386","F","46-50","11","3","3","1","32","331206"
"1387","F","36-45","3","3","5","0","17","134226"
"1388","M","18-25","4","2","3","1","63","668492"
"1389","M","55+","6","3","2","1","14","111532"
"1390","M","36-45","1","3","3","1","18","162477"
"1391","F","18-25","14","3","2","0","51","628659"
"1392","F","0-17","10","1","1","0","159","872150"
"1393","M","26-35","14","1","5","0","21","174829"
"1394","F","51-55","6","2","2","1","39","381555"
"1395","M","51-55","3","3","5","0","95","1079450"
"1396","M","18-25","2","3","1","0","24","181229"
"1397","M","36-45","3","3","2","1","18","265956"
"1398","M","36-45","12","3","2","0","69","598944"
"1399","M","36-45","16","3","4","1","47","371851"
"1400","M","18-25","2","1","4","0","95","868663"
"1401","M","36-45","2","3","1","1","26","283304"
"1402","F","26-35","4","2","2","0","17","151934"
"1403","M","26-35","2","3","2","1","14","127177"
"1404","M","36-45","12","2","5","1","54","645419"
"1405","M","18-25","4","1","1","0","533","4503530"
"1406","F","26-35","3","1","2","0","570","5136424"
"1407","M","36-45","20","1","2","1","714","5103795"
"1408","M","18-25","4","2","3","1","64","374610"
"1409","M","36-45","20","2","1","0","392","3834903"
"1410","F","55+","13","3","2","1","10","98041"
"1411","M","18-25","4","3","3","0","10","103124"
"1412","F","46-50","0","2","2","1","39","344416"
"1413","M","26-35","2","3","2","0","13","167214"
"1414","M","26-35","1","2","2","1","163","1560851"
"1415","M","0-17","0","2","3","0","54","489237"
"1416","F","26-35","0","3","1","0","15","116300"
"1417","F","18-25","4","3","4","1","19","162244"
"1418","F","46-50","0","2","3","1","29","242149"
"1419","M","36-45","16","2","3","1","18","156687"
"1420","M","51-55","16","3","5","1","60","587846"
"1421","M","36-45","12","3","4","1","45","569034"
"1422","M","51-55","16","2","5","1","345","3366538"
"1423","M","18-25","4","3","4","1","127","1520789"
"1424","M","26-35","5","3","3","0","55","499219"
"1425","M","0-17","14","2","2","0","66","899524"
"1426","M","55+","20","3","2","0","23","188419"
"1427","M","18-25","4","1","2","1","399","2898765"
"1428","M","26-35","17","2","2","0","10","82550"
"1429","M","26-35","7","3","2","0","132","1591171"
"1430","M","26-35","14","2","1","0","133","1399364"
"1431","M","26-35","4","1","3","1","72","709276"
"1432","F","26-35","2","2","4","0","41","395208"
"1433","F","18-25","0","2","1","0","40","407413"
"1434","F","46-50","1","3","3","0","20","151437"
"1435","M","0-17","10","3","3","0","16","125673"
"1436","F","51-55","2","2","2","0","16","150667"
"1437","M","26-35","20","3","2","0","25","212293"
"1438","M","36-45","17","3","5","0","49","540673"
"1439","M","26-35","7","3","4","0","33","277010"
"1440","M","18-25","4","2","2","0","150","1452880"
"1441","M","26-35","12","3","2","0","179","1602846"
"1442","F","26-35","9","3","4","1","14","151265"
"1443","M","26-35","16","3","5","1","31","334509"
"1444","M","36-45","7","3","3","1","20","124611"
"1445","M","26-35","7","2","3","0","11","149703"
"1446","F","36-45","2","1","3","1","263","1600660"
"1447","M","51-55","7","2","5","1","99","1430888"
"1448","M","18-25","4","2","2","0","137","1091925"
"1449","M","26-35","12","1","1","1","70","584376"
"1450","M","26-35","17","3","4","1","57","535393"
"1451","M","18-25","0","3","2","0","103","686800"
"1452","M","26-35","17","1","3","0","324","2393026"
"1453","M","51-55","5","3","2","1","108","1446867"
"1454","M","18-25","4","1","3","0","63","642408"
"1455","M","0-17","10","3","2","0","76","900162"
"1456","M","26-35","17","1","3","0","52","469455"
"1457","M","26-35","11","1","4","0","299","2714148"
"1458","M","18-25","4","3","4","0","157","1471469"
"1459","M","26-35","12","1","3","0","155","1493977"
"1460","M","18-25","19","1","4","0","21","245489"
"1461","M","51-55","11","3","4","1","171","1378256"
"1462","M","26-35","7","3","5","1","58","570693"
"1463","M","36-45","17","3","1","0","57","545397"
"1464","F","0-17","10","3","5","0","13","140703"
"1465","M","0-17","0","2","4","0","169","1435282"
"1466","F","26-35","1","1","2","0","19","165065"
"1467","M","36-45","12","3","5","1","40","433018"
"1468","M","26-35","20","3","5","0","19","167672"
"1469","F","36-45","16","3","5","1","87","882675"
"1470","M","18-25","4","2","5","1","71","687337"
"1471","M","26-35","16","3","4","1","14","134091"
"1472","F","26-35","12","2","2","0","178","1513896"
"1473","M","18-25","0","2","5","1","41","394847"
"1474","M","26-35","2","3","2","0","10","162896"
"1475","M","18-25","4","3","2","0","50","465002"
"1476","M","26-35","17","2","2","0","13","169710"
"1477","F","26-35","7","3","3","1","39","330323"
"1478","M","36-45","20","1","1","1","42","520720"
"1479","M","26-35","17","3","1","0","59","632333"
"1480","M","18-25","4","2","2","0","136","1311691"
"1481","F","26-35","16","2","4","1","58","520919"
"1482","M","55+","17","3","5","1","19","151371"
"1483","M","18-25","10","3","2","1","72","652171"
"1484","M","26-35","15","3","2","0","34","305952"
"1485","M","18-25","4","3","5","1","12","152450"
"1486","M","26-35","4","1","2","1","224","2182059"
"1487","M","46-50","17","3","3","1","18","143513"
"1488","M","18-25","14","3","4","0","69","587686"
"1489","M","46-50","1","3","1","1","46","461704"
"1490","M","51-55","12","3","4","1","10","75140"
"1491","F","18-25","20","3","4","0","16","106785"
"1492","F","36-45","3","3","4","0","22","198901"
"1493","M","18-25","20","2","1","0","16","182157"
"1494","M","26-35","3","3","3","0","52","517440"
"1495","M","26-35","3","3","2","0","16","213555"
"1496","M","46-50","0","1","5","1","66","739476"
"1497","M","55+","17","3","4","1","17","222361"
"1498","M","18-25","17","3","5","0","171","1897191"
"1499","M","26-35","11","3","3","0","102","1034981"
"1500","M","26-35","12","2","3","0","92","896905"
"1501","M","26-35","20","1","2","0","112","982106"
"1502","M","26-35","4","1","5","1","197","1976371"
"1503","M","55+","13","1","5","1","78","730131"
"1504","M","36-45","1","1","4","0","23","180867"
"1505","M","36-45","6","3","5","0","10","77853"
"1506","M","18-25","4","3","2","0","15","142212"
"1507","M","26-35","11","2","2","1","94","925384"
"1508","M","46-50","20","2","2","1","143","1345682"
"1509","F","26-35","15","3","1","0","26","182662"
"1510","F","36-45","12","3","4","1","15","167414"
"1511","F","18-25","0","2","1","1","48","484489"
"1512","M","18-25","4","1","4","1","204","1584751"
"1513","F","18-25","4","3","2","0","35","337478"
"1514","M","18-25","6","1","2","1","14","228166"
"1515","M","36-45","8","1","2","0","29","265011"
"1516","F","26-35","3","2","3","0","78","841681"
"1517","F","18-25","4","3","3","0","99","803020"
"1518","M","18-25","20","3","2","1","16","81504"
"1519","F","0-17","10","2","1","0","43","405660"
"1520","M","51-55","1","3","2","1","64","690598"
"1521","M","46-50","17","2","2","1","25","154300"
"1522","M","36-45","16","3","4","0","12","105654"
"1523","M","26-35","12","2","2","0","65","762286"
"1524","F","0-17","10","3","2","0","13","128704"
"1525","F","55+","13","3","2","1","44","430659"
"1526","M","18-25","17","2","2","1","40","426539"
"1527","M","26-35","20","2","2","1","95","991481"
"1528","F","26-35","3","3","4","1","27","242476"
"1529","M","0-17","0","3","5","0","16","112724"
"1530","M","26-35","6","3","2","1","27","215108"
"1531","F","51-55","7","3","5","1","29","392734"
"1532","F","46-50","9","2","4","1","28","226865"
"1533","M","55+","0","3","2","1","81","834277"
"1534","M","18-25","4","2","2","1","17","257786"
"1535","M","26-35","0","1","1","0","444","3977702"
"1536","F","18-25","4","3","4","0","17","105564"
"1537","F","18-25","4","2","5","1","25","171549"
"1538","M","18-25","0","3","2","0","12","120100"
"1539","M","36-45","6","2","1","0","26","214110"
"1540","M","26-35","19","2","5","0","275","2483182"
"1541","M","55+","20","3","2","1","63","620127"
"1542","M","46-50","7","2","3","1","232","2759310"
"1543","F","26-35","3","2","4","0","315","2308676"
"1544","M","26-35","11","2","2","0","30","230163"
"1545","M","26-35","0","2","2","0","50","562314"
"1546","M","36-45","1","3","1","0","21","204520"
"1547","M","51-55","7","3","2","1","165","1829079"
"1548","M","36-45","7","2","5","1","192","1692712"
"1549","M","26-35","16","3","2","1","111","778867"
"1550","F","36-45","20","2","2","0","85","728816"
"1551","M","36-45","1","3","4","0","79","732679"
"1552","F","18-25","5","2","3","0","11","97730"
"1553","M","26-35","12","2","2","1","130","1253614"
"1554","M","36-45","13","3","1","0","103","1062978"
"1555","M","26-35","0","1","2","0","303","2458922"
"1556","M","36-45","7","2","2","1","228","2066219"
"1557","M","26-35","12","3","3","0","102","1339289"
"1558","F","26-35","7","3","3","1","64","701859"
"1559","F","26-35","0","3","5","1","41","370543"
"1560","M","26-35","11","2","2","1","19","209037"
"1561","F","18-25","0","2","2","0","557","4129152"
"1562","F","36-45","3","1","5","0","99","1178716"
"1563","M","46-50","1","1","3","1","147","1099699"
"1564","M","26-35","11","2","2","1","79","358366"
"1565","F","36-45","9","2","4","0","200","1535081"
"1566","M","26-35","11","2","2","1","16","159980"
"1567","M","26-35","0","2","2","0","315","3140413"
"1568","M","26-35","17","3","2","0","12","96199"
"1569","M","18-25","20","1","2","0","434","4055317"
"1570","M","36-45","0","2","2","1","35","400260"
"1571","F","46-50","7","2","2","1","13","94639"
"1572","M","26-35","0","3","1","1","140","1322580"
